Program Title,Org Title,Categories,Length (time),Period,Paid,Cost,Pay/Hr,Stipend Paid,Aid?,Location,Remote?,Application Window,Age Group,Grade Band,Grades are Rising?,Affinity Group (if any),Link,Eligibility Requirements,Notes
Young Women's Design & Building Institute,Girls Garage,"Architecture
Carpentry & Fabrication
Engineering
Graphic Design",1 week,June,FALSE,0,,,FALSE,Berkeley CA,FALSE,February (ends March),,9-12,TRUE,"Girls (gender-expansive)
BIPOC",https://girlsgarage.org/program/young-womens-design-and-building-institute/,,
Advanced Design/Build,Girls Garage,"Architecture
Construction
Carpentry & Fabrication
Engineering
Graphic Design",4 week,3 Mondays in Fall + 1 Week in July,FALSE,0,,,FALSE,Berkeley CA,FALSE,,,9-12,TRUE,"Girls (gender-expansive)
BIPOC",https://girlsgarage.org/program/advanced-design-build/,"by invitation (""Most participants in the Advanced Design/Build cohort have been coming to Girls Garage for many years and express great interest in STEM, design, architecture, or trades careers."")",is there also an open application?
Teen Arts Council,Institute of Contemporary Art Boston,"Arts Management
Cultural Programming",9 month,September - May,FALSE,,,,FALSE,Boston MA,FALSE,,,,FALSE,N/A,https://www.icaboston.org/ica-teens,,know application window and age group
Successlink: Summer Employment Program,City of Boston,"Arts
Design",2 month,July - August,TRUE,,12.75,,FALSE,Boston MA,TRUE,"March, rolling",15-18,,FALSE,N/A,"https://drive.google.com/file/d/1a1LxGyvDgNHCfsv6hNz5m2UyBp1tXP2k/view
https://www.boston.gov/departments/youth-engagement-and-employment/successlink-jobs","15 years old before the start of the program; cannot be 19 years old until the end of the program
○ A full-time resident of Boston; currently enrolled in high school or a GED program
○ Legally authorized to work in the United States",Youth Engagement & Employment (YEE) will post job opportunities for youth to apply for directly. Youth may apply for up to 15 positions.
Youth Arts Enterprise,Artists for Humanity,"Arts
Industrial Design
Graphic Design
Video/Film
Animation
Photography",indefinite,year-round,TRUE,,12.75,,FALSE,Boston MA,FALSE,,,9-11,FALSE,N/A,http://afhboston.org/getinvolved.html,"1. A high school attendee or at least 14 years of age. All teens must be enrolled in and regularly attending a Boston public school (this includes attending a night, day, or G.E.D. program);
2. Able to attend during the program’s regular hours (Tuesday, Wednesday, and Thursday from 3:00 p.m. – 6:00 p.m. during the school year; Monday – Friday from 12:00 noon – 5:30 p.m. during the summer); and
3. Able to complete an unpaid apprenticeship period of 36 hours, which doubles as community service hours.",next open house date not set
Virtual Summer Academy: High School Design Exploration,Boston Architectural College,"Design
Interior Design
Architecture
Landscape Design",1 month,July - August,FALSE,800,,,TRUE,Boston MA,FALSE,,,9-12,TRUE,N/A,https://www.teenlife.com/summer-program/boston-architectural-college-online-summary-academy-high-school-design-exploration/,,
Professional Training,Boston City Lights,"Scene/Set Design
Sound & Lighting Design
Graphic Design
Photography
Dance
Music/Audio
Video/Film",,,FALSE,0,,,FALSE,Boston MA,FALSE,rolling,,,FALSE,Underprivileged,http://bclperformingarts.org/,,
Summer 2020 Internship,Boston Harbor Now,"Graphic Design
Marketing
Photography
Video/Film",10 week - 1 year,Summer,TRUE,,,,FALSE,Boston MA,FALSE,June,16+,,FALSE,BIPOC,https://www.bostonharbornow.org/get-involved/internship-programs/,,
MLK Scholars,Boston Harbor Now,Urban Planning,1 month,July - August,TRUE,,,,FALSE,Boston MA,FALSE,June,16-18,,FALSE,BIPOC,https://www.bostonharbornow.org/wp-content/uploads/2018/05/MLK-Scholars-BHN-Job-Description.pdf,must live in Boston,
U-Design,Boston University,"Design
Engineering",1 week,July,FALSE,200,,,TRUE,Boston MA,FALSE,,,7-10,TRUE,N/A,https://www.bu.edu/eng/u-design/,,
Square Tech's Summer Teen Internship,Castle Square Tenants Organization,Video Game Design,6 week,July - August,FALSE,,,,FALSE,Boston MA,FALSE,May,14-19,,FALSE,N/A,https://www.cstoboston.org/square-tech,,
Creative Youth Development Program: Summer,Inquilinos Boricuas en Accíon,"Arts
Cultural Programming",1 month,July - August,TRUE,,,,FALSE,Boston MA,FALSE,,,9-12,FALSE,Latino,https://www.ibaboston.org/programs/youth-development,,
Creative Youth Development Program: School-Year,Inquilinos Boricuas en Accíon,"Arts
Video/Film
Photography
Dance
Business & Entrepreneurship",8 month,October - May,TRUE,,,,FALSE,Boston MA,FALSE,,,9-12,FALSE,Latino,https://www.ibaboston.org/programs/youth-development,,
Internship,Institute for Human Centered Design,Design,,,FALSE,,,,FALSE,Boston MA,FALSE,,all,,FALSE,People with a functional limitation,https://www.humancentereddesign.org/services/education,,
Artward Bound,MassArt,"Arts
Design
Graphic Design
Industrial Design
Architecture
Fashion
Film/Video
Photography",3 year - 4 year,year-round,FALSE,0,,,FALSE,Boston MA,FALSE,rolling until December,,9-12,TRUE,BIPOC,https://massart.edu/artwardbound,,
Teen Arts Council,MFA Boston,"Arts Management
Cultural Programming",12 month,,TRUE,,13,,FALSE,Boston MA,FALSE,,,,FALSE,N/A,https://www.mfa.org/programs/teen-programs/teen-arts-council,Must attend a Boston public school and/or live in Boston,confirm ongoing
STEAM Team,MFA Boston,"Engineering
Science
Arts",12 month,,TRUE,,13,,FALSE,Boston MA,FALSE,,,10-10,FALSE,N/A,https://www.mfa.org/programs/teen-programs/steam-team,Must attend a Boston public school and/or live in Boston,confirm ongoing
Curatorial Study Hall,MFA Boston,"Exhibit Design
Arts Management
Arts",12 month,,TRUE,,13,,FALSE,Boston MA,FALSE,,,10-11,FALSE,N/A,https://www.mfa.org/programs/teen-programs/curatorial-study-hall,Must be a current participant in youth organizations Becoming a Man or The BASE,"confirm ongoing
news"
STEAM Team: Design Lab,Sociedad Latina,"Design
",indefinite,year-round,FALSE,0,,,FALSE,Boston MA,FALSE,year-round,,6-9,TRUE,Latino,https://www.sociedadlatina.org/education,,
Community Classes,Sociedad Latina,"Arts
Video/Film
Graphic Design
Music/Audio
Dance",indefinite,year-round,FALSE,0,,,FALSE,Boston MA,FALSE,year-round,8-18,,FALSE,Latino,https://www.sociedadlatina.org/arts-and-culture,,
¡emprende!,Sociedad Latina,"Design
Business & Entrepreneurship",10 week,,TRUE,,,,FALSE,Boston MA,FALSE,,all,,FALSE,Latino,https://www.sociedadlatina.org/workforce-development,,
The Designery,Youth Build Boston,"Design
Graphic Design
Architecture
Industrial Design",7 week - 10 week,,TRUE,,,,FALSE,Boston MA,FALSE,for Fall: September,,9-12,FALSE,N/A,https://www.youthbuildboston.org/program,,
